Chain Name,Customer Name,Address,City,State,Zip Code,Prod #,Description,Pack,Size,Cost,Units
NCG,BRIARPATCH COMM MKT SUPPS   ,290 SIERRA COLLEGE DR       ,GRASS VALLEY      ,CA,95945,76740,NUT SPICES BAR,12,2 OZ,$151.20 ,10
NCG,BRIARPATCH COMM MKT SUPPS   ,290 SIERRA COLLEGE DR       ,GRASS VALLEY      ,CA,95945,80760,CHOC PRTN BAR,12,2 OZ,$60.48 ,4
NCG,CENTRAL CO-OP PEARL ST ,4502 N PEARL ST             ,TACOMA            ,WA,98407,76740,NUT SPICES BAR,12,2 OZ,$15.12 ,1
NCG,CENTRAL CO-OP PEARL ST ,4502 N PEARL ST             ,TACOMA            ,WA,98407,80760,CHOC PRTN BAR,12,2 OZ,$15.12 ,1
NCG,CHICO NATURAL FOODS CO-OP   ,818 MAIN STREET             ,CHICO             ,CA,95926,25452,BERRY PRTN SMOOTHIE,12,12 OZ,$33.96 ,1
NCG,CHICO NATURAL FOODS CO-OP   ,818 MAIN STREET             ,CHICO             ,CA,95926,56732,GREEN PRTN SMOOTHIE,12,12 OZ,$33.96 ,1
NCG,CHICO NATURAL FOODS CO-OP   ,818 MAIN STREET             ,CHICO             ,CA,95926,60678,CITRUS SMOOTHIE,12,12 OZ,$33.96 ,1
NCG,CHICO NATURAL FOODS CO-OP   ,818 MAIN STREET             ,CHICO             ,CA,95926,66736,HONEY BUTTER SMOOTHIE,12,12 OZ,$33.96 ,1
NCG,CHICO NATURAL FOODS CO-OP   ,818 MAIN STREET             ,CHICO             ,CA,95926,76740,NUT SPICES BAR,12,2 OZ,$60.48 ,4
NCG,CHICO NATURAL FOODS CO-OP   ,818 MAIN STREET             ,CHICO             ,CA,95926,80760,CHOC PRTN BAR,12,2 OZ,$60.48 ,4
NCG,CO-OPPORTUNITY,1525 BROADWAY               ,SANTA MONICA      ,CA,90404,45453,SUPERFOOD POWDER,1,20 OZ,$64.76 ,4
NCG,DAVIS FOOD CO-OP            ,620 G STREET                ,DAVIS             ,CA,95616,45453,SUPERFOOD POWDER,1,20 OZ,$129.52 ,8
NCG,FAIRBANKS COOP MARKET DRY   ,PO BOX 72637                ,FAIRBANKS         ,AK,99701,56732,GREEN PRTN SMOOTHIE,12,12 OZ,$33.96 ,1
NCG,FIRST ALT - NORTH           ,2855 NW GRANT AVE           ,CORVALLIS         ,OR,97330,45453,SUPERFOOD POWDER,1,20 OZ,$16.19 ,1
NCG,"FOOD CO-OP, THE             ",414 KEARNEY STREET          ,PORT TOWNSEND     ,WA,98368,45453,SUPERFOOD POWDER,1,20 OZ,$80.95 ,5
NCG,LA MONTANITA SF             ,913 WEST ALAMEDA            ,SANTA FE          ,NM,87501,45453,SUPERFOOD POWDER,1,20 OZ,$32.38 ,2
NCG,LOS ALAMOS COOP MARKET      ,95 ENTRADA DR               ,LOS ALAMOS        ,NM,87544,25452,BERRY PRTN SMOOTHIE,12,12 OZ,$33.96 ,1
